ICAO,Name,City,Elevation,Longitude,Latitude
EPKB,Kazimierz Biskup Airport,Kazimierz Biskupi,353,18.16573906,52.31959534
EPKC,Krakow Airport,Krakow,712,19.99046326,50.08430481
EPKE,Kȩtrzyn-Wilamowo Airport,Ketrzyn,446,21.42619705,54.04836273
EPKG,Kolobrzeg,Kolobrzeg,8,15.68662071,54.20063019
EPKI,Kikity,,556,20.87688446,53.98281479
EPKK,Balice,Krakow,785,19.78555298,50.07784271
EPKL,Krasocin Field,Krasocin,837,20.12713814,50.89945602
EPKM,Muchowiec,Katowice,899,19.03421783,50.23858261
EPKN,Kamien Slaski,,662,18.08382225,50.52944565
EPKO,Korne,,514,17.84495926,54.12958145
EPKP,Pobiednik Wielki,Pobiednik Wielki,651,20.20163727,50.08698654
EPKR,Krosno,Krosno,919,21.73629761,49.68344498
EPKS,Krzesiny,Poznan,273,16.9665947,52.3319397
EPKT,Pyrzowice,Katowice,986,19.08211327,50.47600174
EPKU,Konstancin-Jeziorna Airfield,Karczew,277,21.18805885,52.07616043
EPKV,Kazimierza Mała,Kazimierza Wielka,595,20.54132843,50.26036072
EPKW,Kaniow,,828,19.02088737,49.9408226
EPKX,Lotnisko Kamieńsk,Kamiensk,987,19.4211216,51.22564316
EPKZ,Zegrze Pomorskie Mil,Koszalin,224,16.2639389,54.0423317
EPLA,Weremień Airport,Lesko,1348,22.31943893,49.44592285
EPLB,Lublin,,629,22.70256805,51.23629379
EPLC,Lotnisko Jasienna,Korzenna,1680,20.81173325,49.71661377
EPLE,Legnica,Legnica,399,16.17795944,51.18273926
EPLF,Kutno,Kutno,318,19.39068985,52.20822144
EPLG,Suliszew,Kaweczyn Nowy,427,20.26695251,51.92781067
EPLH,Skierniewice-Psary,Kaweczyn Nowy,489,20.32512665,51.88599777
EPLI,Ladowisko Natolin,Lipie,791,18.75408554,51.01623917
EPLK,Lask,Lask,624,19.17899704,51.55171204
EPLL,Lublinek,Lodz,599,19.39532852,51.72014236
EPLN,Łańsk / Gryźliny Airport,Olsztynek,535,20.34962463,53.608078
EPLR,Radawiec,Lublin,787,22.39460373,51.22296143
EPLS,Leszno,Leszno,303,16.52319527,51.83392334
EPLU,Lubin,Lubin,512,16.19609451,51.42301941
EPLW,Łowicz,Lowicz,286,19.85928154,52.08468628
EPLY,Leczyca,,390,19.1439724,52.00497818
EPLZ,Mostki Airstrip,Lubrza,335,15.37199593,52.27125168
EPMA,Lotnisko Mrągowo,Mragowo,491,21.31857109,53.82526779
EPMB,Malbork Mil,Malbork,18,19.13558006,54.02656174
EPMD,Międzyrzecz 2,Miedzyrzecz,164,15.5803318,52.41925049
EPMI,Miroslawiec,Miroslawiec,493,16.08289146,53.39502716
EPML,Mielec,Mielec,541,21.46181297,50.32229614
EPMM,Minsk Mazowiecki,Minsk Mazowiecki,583,21.6559391,52.19553375
EPMO,Modlin Mil,Modlin,340,20.65187073,52.45122147
EPMR,Miroslawice,,501,16.7700386,50.95816803
EPMX,Milewo,Sochocin,334,20.42820358,52.6665535
EPMY,Myślibórz-Giżyn Airfield,Nowogrodek Pomorski,216,15.02859688,52.94269562
EPNA,Nadarzyce Air Base,Sypniewo,410,16.49013329,53.45485687
EPND,Walendów,Nadarzyn,367,20.8534565,52.08058929
EPNL,Lososina Dolna,Nowy Sacz,833,20.62350655,49.74538422
EPNM,Nowe Miasto nad Pilica Airfield,Nowe Miasto nad Pilica,513,20.53575897,51.62759781
EPNO,Lądowisko Grabowiec,Nowogrod Bobrzanski,328,15.2707262,51.90147018
EPNS,Chrcynno Airport,Nasielsk,363,20.87193489,52.57400894
EPNT,Nowy Targ,Nowy Targ,2060,20.04963303,49.46328354
EPNY,Lotnisko Nysa,Nysa,710,17.26670647,50.47179794
EPOB,Golędzinów Airstrip,Oborniki Slaskie,453,16.92138863,51.26266861
EPOD,Dajtki,Olsztyn,436,20.41399193,53.77271652
EPOE,Oleszyce Airstrip,Oleszyce,762,23.05776787,50.17026138
EPOK,Oksywie,Oksywie,131,18.5193882,54.58342743
EPOM,Michalkow,Ostrow Wielkopolski,469,17.84670067,51.70246506
EPON,Lotnisko Orneta,Orneta,197,20.08840179,54.12678528
EPOO,Oborniki Słonawy Airfield,Oborniki,189,16.77443504,52.66690445
EPOP,Polska Nowa Wies,Opole,617,17.77989197,50.63210297
EPOR,Rostki Airport,Orzysz,386,21.91050911,53.70949173
EPPA,Przasnysz Airport,Przasnysz,376,20.93432426,53.01093674
EPPB,Bednary,Bednary,377,17.21866798,52.53437805
EPPC,Pińczów Airport,Pinczow,596,20.51478195,50.51814651
EPPF,Lądowisko Horodek,Polanczyk,1588,22.4818821,49.3512764
EPPH,Bożykowo Airfield,Pozezdrze,473,21.83483124,54.07483292
EPPI,Pila,Pila,267,16.71051598,53.16965485
EPPK,Kobylnica,Poznan,281,17.04422188,52.43440628
EPPL,Plock,Plock,331,19.71977997,52.56192398
EPPN,Zgorzelec-Żarska Wieś Airport,Piensk,732,15.13136292,51.20259857
EPPO,Lawica,Poznan,298,16.82353592,52.42156982
EPPP,Przechlewo Airport,Przechlewo,472,17.35255814,53.82533264
EPPR,Pruszcz Gdanski Mil,Pruszcz Gdanski,14,18.6744976,54.24770737
EPPT,Piotrkow Trybunalski,Piotrkow Trybunalski,673,19.68852234,51.38256454
EPPW,Powidz,Powidz,374,17.85001755,52.38068008
EPPY,Przytoczna Airfield,Przytoczna,198,15.72556973,52.52355576
EPPZ,Dblin-Podlodw Airport,Przytoczno,531,22.19794464,51.62734985
EPRA,Sadkow,,610,21.21168137,51.38881683
EPRB,Rzepin Airstrip,Rzepin,201,14.81051636,52.32201004
EPRC,Krzewica Airport,Rzeczyca,509,22.70280075,52.05454636
EPRG,Gotartowice,Rybnik,837,18.62914276,50.07103729
EPRI,Lotnisko Konopki,Regimin,405,20.5067482,52.98974991
EPRJ,Rzeszow,Rzeszow,650,22.04744911,50.10472488
EPRN,Radzy Podlaski-Marynin Airport,Radzyn Podlaski,488,22.62589455,51.75630951
EPRO,Rogów Airstrip,Rogow,625,19.85773468,51.80049515
EPRP,Piastow,Radom,476,21.1088562,51.47894287
EPRS,Sochaczew-Rybno,Rybno,285,20.12718201,52.24327469
EPRU,Rudniki,Rudniki,844,19.20254135,50.8848114
EPRW,Dębno Polskie Airport,Rawicz,301,16.86655807,51.59480286
EPRZ,Jasionka,Rzeszow,678,22.02397156,50.10989761
EPSB,Lipki Wielkie,Santok,133,15.51093483,52.71580124
EPSC,Goleniow,Szczecin,137,14.90223503,53.58473969
EPSD,Dabie,Szczecin,3,14.63299847,53.3905983
EPSE,Swiebodzice Airfield,Swiebodzice,876,16.31986237,50.8826828
EPSF,Wilcze Laski,Szczecinek,508,16.72560692,53.59431458
EPSG,Tworzyjanów Airstrip,Sobotka,566,16.67899513,50.92286682
EPSH,Linowiec,Starogard Gdanski,348,18.50072479,54.0078125
EPSI,Chojne Airport,Sieradz,453,18.80158424,51.53562546
EPSJ,Sobienie Field,Sobienie Jeziory,306,21.35339165,51.95267105
EPSK,Krepa,Slupsk,238,17.09241676,54.4100914
EPSL,Solec Kujawski,Solec Kujawski,108,18.1956501,53.07081223
EPSM,Lotnisko Henryka Stokłosy,Smilowo,291,16.88056946,53.14513779
EPSN,Swidwin,Swidwin,385,15.82627106,53.79060745
EPSO,Sochaczew,Sochaczew,288,20.2909565,52.198452
EPSR,Słupsk-Krȩpa,Sobienie Jeziory,238,17.09244156,54.41009521
EPSS,Stara Wieś Field,Stara Wies,992,22.0252018,49.72297287
EPST,Turbia,,492,21.99765205,50.62646866
EPSU,Suwalki,Suwalki,584,22.89831352,54.0739975
EPSV,Stare Juchy Landing Site,Stare Juchy,443,22.23346519,53.907341
EPSW,Swidnik,Swidnik,666,22.69160843,51.23241043
EPSX,Zyzdrojowa Wola,Swietajno,447,21.27735138,53.65752411
EPSY,Szymany,Szczytno,452,20.9365139,53.47977066
EPTA,Lądowisko Tarnów,Tarnow,668,21.00415421,50.00205612
EPTC,Lądowisko Donimierz,Szemud,577,18.1673336,54.48681259
EPTD,Szprotawa Airport,Szprotawa,411,15.58948612,51.56147003
EPTM,Spala Glinnik Nowy,Spala Glinnik Nowy,603,20.09714508,51.58452606
EPTO,Torun,Torun,164,18.54464531,53.03021622
EPTR,Lewickie Airport,Turosn Koscielna,444,23.13466454,53.02911758
EPTU,Lotnisko Turośń Kościelna,Turosn Koscielna,428,23.05788422,53.00192642
EPTY,Szorce Airport,Tykocin,359,22.67397308,53.28542328
EPWA,Okecie,Warsaw,353,20.96700478,52.16510773
EPWC,Folwark Piaski Airfield,Witkowo,376,17.76795197,52.4796257
EPWD,Żłobek Mały Airport,Wlodawa,530,23.54314995,51.45470428
EPWE,Marianowo,Wielen,141,16.1289711,52.90243149
EPWI,Baza Lotnicza JPR „Baryt”,Wilkow,1416,16.01339912,51.05555725
EPWK,Kruszyn,Wloclawek,215,19.01148224,52.58377457
EPWL,Lądowisko Wilga,Wilga,313,21.3695507,51.88132095
EPWN,Witnica Airstrip,Witnica,57,14.86852169,52.67353821
EPWO,Wyszonowice UL,Wiazow,497,17.16142273,50.78334427
EPWR,Strachowice,Wroclaw,403,16.88190269,51.10387039
EPWS,Szymanow,Wroclaw,118,16.99829865,51.20704651
EPWT,Watorowo,,91,18.41351318,53.29846954
EPZA,Zamosc,Zamosc,751,23.20476341,50.70095825
EPZB,Zborowo,Dopiewo,266,16.63868141,52.36196518
EPZG,Babimost,Zielona Gora,191,15.79856205,52.13851547
EPZK,Konopnica,Osjakow,542,18.8224411,51.36046219
EPZL,Kroczewo Airport,Zaluski,332,20.54176712,52.47382736
EPZN,Tomaszowo Airport,Malomice,494,15.40807915,51.62785721
EPZO,Brochocin Airport,Zagrodno,632,15.93216705,51.20290756
EPZP,Przylep,Zielona Gora,243,15.46320248,51.97930527
EPZR,Zar,Zar,1289,19.21790886,49.77090454
EPZY,Baranów,Zyrardow,303,20.48195839,52.12207031
ERU,Emirua,Emirua,143,149.967041,-1.651371717
ERV,Erave,Erave,3642,143.9006958,-6.606433868
ES05,Gimo AB,Gimo,129,18.09767723,60.129879
ES0G,Mantorp Park,Mantorp Park,304,15.28496456,58.36608887
ESA,Esa'ala,Esa'ala,26,150.9539795,-9.87371254
ESAB,Kokhedsfältet Airstrip,AElvsbyn,202,21.03543472,66.15022278
ESAD,Arvidsjaur Airport,Arvidsjaur,1088,19.16239738,65.91387177
ESAE,Älvdalens flygklubb,AElvdalen,714,14.0452919,61.21372986
ESAL,Alvesta Smålanda Airfield,Alvesta,467,14.54242802,56.92604065
ESAR,Kolåsens flygfält,Are,1275,12.9089632,63.76414871
ESAS,Vassunda Private Airfield,Alsike,30,17.72011375,59.72169495
ESAV,Kattleberg Airport,Alvangen,135,12.14329147,57.9790802
ESAY,Pålsträsket Airstrip,AElvsbyn,182,21.23143005,65.6391983
ESBD,Boden Airport,Boden,500,21.90950966,66.88114166
ESBJ,Degerfors Grenlanda Airport,Bjorneborg,363,14.29955482,59.10270309
ESBO,Bollnäs,Bollnas,242,16.33562469,61.35512924
ESCF,Malmen AB,Linkoping,283,15.52671623,58.39943314
ESCH,Charlottenberg Airstrip,Charlottenberg,429,12.27235031,59.89495468
ESCK,Bravalla AB,Norrkoping,85,16.10425568,58.6100235
ESCN,Tullinge,Stockholm,159,17.90001106,59.17743683
ESDF,Ronneby AB,Ronneby,184,15.26541042,56.26730347
ESDO,Dorotea flygfält,Dorotea,993,16.49042892,64.26531982
ESDR,Finlanda Flygfält,Dorotea,699,16.32298279,63.91200638
ESEN,Flygfältet Långtora,Enkoping,30,17.14653969,59.74740601
ESFA,Hässleholm Bokeberg Airfield,Vinslov,105,13.87568951,56.1345253
ESFE,Duvhed flygfält UL,Fjaeras kyrkby,20,12.16357327,57.44336319
ESFH,Hasslosa AB,Hasslosa,263,13.26261806,58.4094429
ESFI,Knislinge AB,Knislinge,95,14.13559055,56.18780518
ESFM,Moholm AB,Moholm,294,14.11176682,58.5989418
ESFN,Finspångs flygfält,Finspang,163,15.60396004,58.73439407
ESFQ,Kosta AB,Kosta,736,15.45271969,56.84428024
ESFR,Rada AB,Rada,243,13.05324078,58.49819565
ESGA,Backamo,Backamo,424,11.97315502,58.17706299
ESGB,Stegeborg,Gusum,7,16.60691261,58.43379974
ESGC,Alleberg,Alleberg,1099,13.60239887,58.13477325
ESGD,Bammelshed,Tidaholm,456,13.99857235,58.19230652
ESGE,Viared,Boras,588,12.84499168,57.69593048
ESGG,Landvetter,Goteborg,492,12.27978325,57.66283798
ESGH,Herrljunga,Herrljunga,479,13.10861683,58.03312683
ESGI,Alingsas,Alingsas,226,12.57549191,57.94841003
ESGJ,Jonkoping,Jonkoping,737,14.0693922,57.75544357
ESGK,Falkoping,Falkoping,777,13.58785725,58.16982269
ESGL,Lidkoping AB,Lidkoping,195,13.17440128,58.46553802
ESGM,Oresten,Oresten,378,12.64848804,57.44519424
ESGO,Vargarda,,328,12.78584099,58.03938675
ESGP,Säve,Goteborg,49,11.87439919,57.77681732
ESGQ,Vuollerim Airstrip,Gaellivare,399,20.63573265,66.43515015
ESGR,Skovde,Skovde,310,13.97268486,58.45640182
ESGS,Nasinge,Stromstad,115,11.34182358,59.01712799
ESGT,Trollhattan-Vanersborg,Trollhattan-Vanersborg,135,12.34160328,58.31912613
ESGU,Rorkarr,Uddevalla,120,11.77386665,58.36658859
ESGV,Varberg,Varberg,3,12.22894764,57.12490082
ESGW,Gimo gräsfält,Gimo,41,18.19543648,60.17913818
ESGY,Saffle,,151,12.94953632,59.08509445
ESHO,Bergs Airstrip,Hoverberg,1134,14.40620518,62.77845383
ESIA,Karlsborg AB,Karlsborg,308,14.50743389,58.51395035
ESIB,Satenas AB,Satenas,173,12.71062851,58.42913055
ESJA,Åre / Molanda,Jarpen,1036,13.42528725,63.32847977
ESJK,Porjus flygfält,Jokkmokk,1197,19.83334732,66.96333313
ESJO,Bänkås Hoppfält,Johannedal,189,17.45221329,62.38917923
ESKA,Frölunda Airfield,Kungsaengen,49,17.70822144,59.45803452
ESKB,Barkarby,Stockholm,63,17.88951874,59.41611481
ESKC,Sundbro,Sundbro,62,17.53594017,59.9221611
ESKD,Dala-Jarna,Dala-Jarna,773,14.37762833,60.55617905
ESKG,Gryttjom,Gryttjom,105,17.42922974,60.28530884
ESKH,Eksharad,Eksharad,460,13.52855396,60.1543541
ESKK,Karlskoga,Karlskoga,395,14.49591064,59.34584808
ESKL,Flygebyns hoppövningsfält,Karlsborg,407,14.45819664,58.60273361
ESKM,Siljan,Mora,624,14.51128387,60.95792389
ESKN,Skavsta,Stockholm,126,16.90737915,58.79043579
ESKO,Munkfors,Munkfors,279,13.49074745,59.7986145
ESKR,Ålåsen,Krokom,1382,14.61060333,63.86587906
ESKS,Strangnas AB,Strangnas,115,17.10927582,59.31446075
ESKT,Tierp AB,Tierp,129,17.4200573,60.34751129
ESKU,Sunne,Sunne,380,13.11365032,59.86110306
ESKV,Arvika,Arvika,219,12.63942909,59.67585754
ESKX,Bjorkvik AB,Bjorkvik,142,16.57151031,58.79065704
ESMA,Emmaboda,Emmaboda,425,15.60584259,56.61122894
ESMB,Borglanda,Borglanda,118,16.6550827,56.86234283
ESMC,Ranneslatt,Eksjo,720,14.94213009,57.67010498
ESME,Eslov,Eslov,296,13.32873535,55.84829712
ESMF,Fagerhult,Fagerhult,378,13.47109795,56.38780975
ESMG,Feringe,Ljungby,534,13.92156315,56.95029068
ESMH,Hoganas,Hoganas,21,12.57594776,56.1848526
ESMI,Sovdeborg,Sovdeborg,118,13.67469883,55.59814453
ESMJ,Kagerod,Kagerod,276,13.05021,55.99503326
ESMK,Kristianstad,Kristianstad,75,14.08547211,55.92171097
ESML,Landskrona,Landskrona,194,12.86958027,55.94632339
ESMM,Tjautjasjaure Airstrip,Malmberget,1492,20.7443409,67.32752228
ESMO,Oskarshamn,Oskarshamn,86,16.49773788,57.34880829
ESMQ,Kalmar,Kalmar,13,16.28352737,56.68504715
ESMR,Maglarp,Trelleborg,1,13.02186871,55.39123917
ESMS,Sturup,Malmo,226,13.37111568,55.52889633
ESMT,Halmstad AB,Halmstad,74,12.8201952,56.69110107
ESMU,Mockeln,Almhult,480,14.1690073,56.57262421
ESMV,Hagshult AB,Hagshult,555,14.13602638,57.28980637
ESMX,Kronoberg,Vaxjo,586,14.7279911,56.92913437
ESMY,Smalandsstenar,Smalandsstenar,540,13.4397831,57.16843796
ESMZ,Olanda,Olanda,27,17.0503273,57.32860947
ESNA,Hallviken,Hallviken,1119,15.45882416,63.73859406
ESND,Sveg,Sveg,1174,14.42105198,62.04773712
ESNE,Overkalix,Overkalix,287,22.35783386,66.52960968
ESNF,Farila AB,Farila,607,15.70593739,61.89773178
ESNG,Gallivare,Gallivare,999,20.8146286,67.13243103
ESNH,Hudiksvall,Hudiksvall,86,17.08070374,61.76811981
ESNJ,Jokkmokk,Jokkmokk,896,20.14717674,66.49627686
ESNK,Kramfors-Solleftea AB,Kramfors-Solleftea,29,17.76880836,63.04862595
ESNM,Optand,Optand,1236,14.80594826,63.12628937
ESNN,Sundsvall-Harnosand,Sundsvall-Harnosand,15,17.44419479,62.52776718
ESNO,Ornskoldsvik,Ornskoldsvik,343,18.98820305,63.40929794
ESNP,Pitea AB,Pitea,43,21.26123619,65.39842224
ESNQ,Kiruna,Kiruna,1470,20.33697319,67.82203674
ESNR,Orsa,Orsa,683,14.71266556,61.19065475
ESNS,Skelleftea,Skelleftea,140,21.07681465,64.62478638
ESNU,Umea,Umea,21,20.28488159,63.7907753
ESNV,Vilhelmina,Vilhelmina,1139,16.83356094,64.57910919
ESNW,Norberg,Norberg,583,15.95046806,60.10726929
ESNX,Arvidsjaur,Arvidsjaur,1241,19.27745438,65.59162903
ESNZ,Froson AB,Ostersund,1213,14.50253105,63.19403076
ESOA,Ovansj,Njurundabommen,82,17.38405418,62.23404694
ESOB,Baggböle Airstrip,Njurundabommen,277,17.26920509,62.19060898
ESOC,Överlanda,Nordingra,163,18.04741859,62.95778275
ESOD,Mala Airport,Mala,996,18.68324852,65.2141037
ESOE,Orebro,Orebro,176,15.04429436,59.22630692
ESOH,Hagfors,Hagfors,471,13.57873821,60.02005005
ESOK,Karlstad,Karlstad,343,13.33849335,59.44849777
ESOL,Lemstanas,Storvik,210,16.58691597,60.5867157
ESOR,Åviken Fly Camp,Ornskoldsvik,23,18.74884987,63.21139145
ESOS,Orrlanda Flygfält,Ostersund,1034,14.4430933,63.09137344
ESOW,Vaesteraas AB,Stockholm,14,16.63385582,59.58983994
ESPA,Kallax AB,Lulea,43,22.12202835,65.54379272
ESPE,Vidsel AB,Vidsel,595,20.14996338,65.87532043
ESPG,Boden,Boden,38,21.69405174,65.80953979
ESPJ,Heden AB,Heden,99,21.46931267,65.83826447
ESPL,Pajala Airport,Pajala,614,22.39919853,67.42066956
ESQO,Arboga,Arboga,33,15.92102242,59.38827133
ESSA,Arlanda,Stockholm,114,17.9436512,59.65014648
ESSB,Bromma,Stockholm,45,17.94166565,59.35436249
ESSC,Ekeby,Eskilstuna,43,16.44454956,59.38182449
ESSD,Borlange AB,Borlange,498,15.51535606,60.42212296
ESSE,Ska-Edeby,Stockholm,17,17.73968506,59.34397125
ESSF,Hultsfred-Vimmerby AB,Hultsfred-Vimmerby,362,15.82396889,57.52575302
ESSG,Ludvika,Ludvika,892,15.09299278,60.08486557
ESSH,Laxa,Laxa,388,14.66638088,58.97860336
ESSI,Visingso,Visingso,309,14.40511131,58.09827042
ESSJ,Sala flygfält,Sala,167,16.63057518,59.89524841
ESSK,Gavle-Sandviken,Gavle-Sandviken,216,16.95121384,60.59319687
ESSL,Saab,Linkoping,158,15.68020058,58.40631104
ESSN,Norrtalje,Norrtalje,40,18.69607735,59.73274994
ESSO,Sjoberg Airport,Sjoberg,1891,15.82719994,64.95059967
ESSP,Kungsangen,Norrkoping,15,16.24547768,58.5875473
ESST,Fryklanda,Torsby,372,12.99143314,60.15736008
ESSU,Eskilstuna AB,Eskilstuna,129,16.70830536,59.35241318
ESSV,Visby,Visby,146,18.3423996,57.65641022
ESSW,Vastervik,Vastervik,129,16.52368546,57.78001022
ESSX,Johannisberg,Vasteras,25,16.50278473,59.57577896
ESSZ,Vangso,Vangso,56,17.21173859,59.10124588
ESTA,Angelholm AB,Angelholm,55,12.8572731,56.2960968
ESTF,Fjällbacka Anra Airport,Grebbestad,6,11.31511974,58.63027954
ESTL,Ljungbyhed AB,Ljungbyhed,131,13.2083931,56.08375549
ESTO,Tomelilla,Tomelilla,215,13.99819851,55.54253387
ESTR,Trosa Troslanda airfield,Trosa,25,17.49830627,58.89849854
ESTS,Finnskoga/Backa flygplats,Torsby,457,13.1025095,60.55343628
ESUA,Amsele AB,Amsele,700,19.31413841,64.57107544
ESUB,Arbra,Arbra,378,16.37239838,61.51340485
ESUC,Timmele Airfield,Ulricehamn,610,13.43044376,57.87289047
ESUD,Storuman,Storuman,899,17.6966362,64.96091461
ESUE,Idre,Idre,1480,12.68894005,61.87007141
ESUF,Fallfors AB,Fallfors,591,20.76161575,65.11214447
ESUG,Gargnas,Gargnas,980,17.97511864,65.30415344
ESUH,Myran,Harnosand,271,17.98251343,62.63278198
ESUI,Mellansel Airport,Bredbyn,265,18.31995964,63.39186096
ESUJ,Talje,Ange,427,15.83481026,62.56503296
ESUK,Kalixfors Army,Kalixfors,1549,20.25749397,67.7647171
ESUL,Ljusdal,Ljusdal,485,16.00448799,61.81744766
ESUM,Mohed,Mohed,215,16.8462677,61.29149246
ESUO,Graftavallen Airport,Hoverberg,1640,14.00072002,63.03575516
ESUP,Pajala,Pajala,541,23.07480049,67.24463654
ESUS,Asele,Asele,1011,17.28510857,64.15594482
ESUT,Hemavan,Hemavan,1503,15.08380127,65.80530548
ESUV,Alvsbyn,Alvsbyn,227,21.05996323,65.64490509
ESUY,Edsbyn,Edsbyn,515,15.83383179,61.38661957
ESVA,Avesta,Avesta,320,16.1201973,60.18092728
ESVB,Bunge Private Airport,Slite,66,19.03558922,57.8500061
ESVG,Gagnef,Gagnef,575,15.07865906,60.55080414
ESVH,Hallefors,Hallefors,600,14.42385387,59.86745453
ESVI,Vindeln Airport,Vindeln,604,19.61861992,64.26803589
ESVK,Katrineholm,Katrineholm,132,16.22250175,59.01740646
ESVL,Vallentuna flygfält,Vallentuna,39,18.04026413,59.53992081
ESVM,Skinnlanda Airport,Malung,975,13.72675896,60.65900803
ESVQ,Koping,Koping,25,15.9700861,59.5281105
ESVS,Siljansnas,Siljansnas,611,14.82646561,60.78526688
ETAD,Spangdahlem AB,Spangdahlem,1163,6.698482513,49.9765625
ETAR,Ramstein AB,Ramstein,770,7.598461628,49.43562317
ETEK,Baumholder AAF,Baumholder,1398,7.307042122,49.65171432
ETHA,Altenstadt Army,Altenstadt,2422,10.87099552,47.8355217
ETHB,Buckeburg Army,Buckeburg,219,9.080562592,52.27770615
ETHL,Laupheim Army,Laupheim,1763,9.90826416,48.22177505
ETHN,Niederstetten Army,Niederstetten,1531,9.958333969,49.39191437
ETHT,Cottbus Army,Cottbus,216,14.29298401,51.76813126
ETIC,Grafenwohr AAF,Grafenwohr,1355,11.94018936,49.69870377
ETID,Hanau AAF,Hanau,363,8.961631775,50.16919327
ETIE,Heidelberg AAF,Heidelberg,357,8.652002335,49.39345932
ETIH,Hohenfels AAF,Hohenfels,1455,11.83607483,49.21651459
ETIN,Kitzingen AAF,Kitzingen,661,10.2073307,49.74433899
ETME,Eggebek Navy,Eggebek,54,9.345927238,54.62480927
ETNG,Geilenkirchen AB,Geilenkirchen,270,6.04178381,50.96081543
ETNP,Hopsten AB,Hopsten,121,7.541413307,52.33859253
ETNR,Preschen,Preschen,311,14.63396358,51.66366959
ETNW,Wunstorf AB,Wunstorf,173,9.431780815,52.45477676
ETOI,Vilseck AAF,Vilseck,1353,11.76780128,49.63398743
ETOR,Coleman AAF,Mannheim,307,8.463392258,49.5635643
ETOU,Wiesbaden AAF,Wiesbaden,456,8.325455666,50.04982376
ETSA,Landsberg AB,Landsberg,2039,10.9060297,48.07054901
ETSF,Furstenfeldbruck AB,Furstenfeldbruck,1692,11.2656765,48.20567322
ETSL,Lechfeld AB,Lechfeld,1801,10.86013126,48.18893433
ETT1,Etting-Adelmannsberg Glider Field,Wettstetten,1248,11.42093754,48.81027985
ETUO,Gutersloh,Gutersloh,221,8.299251556,51.92347717
ETUR,Bruggen AB,Bruggen,235,6.132608891,51.19882584
ETWM,Meppen,Meppen,68,7.326100349,52.72296906
EVAD,Adazi,,8,24.26663208,57.09870148
EVAG,Višķu lidlauks,Aglona,468,26.79284668,56.03679657
EVAH,Langaci-Limbaži Airport,Limbazi,207,24.67219543,57.48487854
EVAI,Aizpute Airport,Aizpute,226,21.62930298,56.69695282
EVAL,Alojas Lidlauks,Aloja,257,24.88720703,57.77499771
EVAS,Gudenieku lidlauks,Alsunga,152,21.63945198,56.90367508
EVBA,Grecuntāles lidlauks,Bauska,82,24.33436394,56.31632996
EVCA,Cesis,,367,25.32278824,57.3269043
EVDA,Daugavpils Intrenational Airport,Daugavpils,390,26.6664753,55.94320297
EVDB,Bērzes lidlauks,Dobele,17,23.46403503,56.68135452
EVDN,Dundagas lidlauks,Dundaga,265,22.40207863,57.49898148
EVDO,Dobeles lidlauks,Dobele,111,23.31267357,56.67617416
EVDU,Griva Airfield,Daugavpils,290,26.45994568,55.88999176
EVEA,Jelgava Airfield,Jelgava,1,23.679533,56.67289352
EVGA,Lielvarde Air Base,Lielvarde,198,24.85389519,56.77904892
EVGU,Gulbene Airport,Gulbene,379,26.73369026,57.10285568
EVIA,Liegi Airport,Liegi,73,21.36087227,56.73809052
EVIL,Gančauski Airfield,Ilukste,304,26.36948586,56.04287338
EVJA,Tukuma Novads Airstrip,Jaunpils,171,23.02062416,56.83682251
EVJE,Elejas lidlauks,Jelgava,66,23.6993351,56.47556305
EVJU,Jumprava Airport,Jumprava,137,24.9036274,56.66543961
EVKA,Jēkabpils Air Base,Jekabpils,312,25.88828087,56.53474808
EVKE,Rumbula Air Base,Kekava,19,24.22622681,56.88320923
EVKN,Kandava Airport,Kandava,140,22.81660271,57.266819
EVLA,Liepaja Intl,Liepaja,12,21.09700584,56.51751709
EVLI,Mežāres lidlauks,Livani,289,26.25761414,56.51442719
EVLN,Livani Airport,Livani,298,26.33433533,56.35147858
EVLV,Zasas lidlauks,Livani,367,26.0351429,56.27323532
EVMA,Praulienas lidlauks,Madona,349,26.31578445,56.85184479
EVML,Mālpils lidlauks,Malpils,307,24.94589424,57.04504395
EVMT,Matīšu lidlauks,Matisi,213,25.16594887,57.68787766
EVNA,Karķu lidlauks,Naukseni,205,25.60338211,57.78656769
EVPA,Ikshkile,,63,24.52526283,56.81565475
EVPI,Strēlnieku lidlauks,Pilsrundale,53,24.07681274,56.50822067
EVPL,Jaunkalsnavas lidlauks,Plavinas,287,25.91125488,56.70611191
EVPR,Priekuļu lidlauks,Priekule,162,21.57906914,56.4294014
EVRA,Riga Intl,Riga,35,23.97049522,56.91941071
EVRE,Adamovas lidlauks,Rezekne,531,27.34790802,56.56638718
EVRG,Ragana Airstrip,Ragana,158,24.75322723,57.20291901
EVRI,Zabulnieki Airstrip,Riebini,461,26.72867775,56.42235947
EVRK,Rezekne Airport,Rezekne,508,27.1996727,56.57450104
EVRN,Rezekne Airport,Rezekne,499,27.21243286,56.55632401
EVRO,Žocenes lidlauks,Roja,18,22.69912338,57.53270721
EVRS,Spilve,,4,24.07522964,56.99116135
EVRU,Taurenes lidlauks,Rauna,635,25.6767292,57.16942978
EVRZ,Dricānu lidlauks,Rezekne,365,27.17643738,56.66345978
EVSA,Saldus Airfield,Saldus,385,22.47025108,56.69231033
EVSB,Sabile Airport,Sabile,241,22.63386726,56.97250748
